Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA1949	rbsR	ribose operon repressor RbsR	1.71	0.0096943141	182.97	0.77
PA1950	rbsK	ribokinase	1.85	1.63E-07	297.66	0.89
PA1951	fapF	FapF	-29.68	5.62E-15	160.10	-4.89
PA1954	fapC	FapC	-3.21	0.0021522076	10.51	-1.68
PA1956	fapA	FapA	8.78	9.81E-05	6.13	3.13
PA1957		hypothetical protein	1.86	0.0001575176	47.28	0.89
PA1958		probable transporter	1.81	2.63E-05	101.01	0.86
PA1959	bacA	bacitracin resistance protein	3.51	3.10E-31	430.17	1.81
PA1960		hypothetical protein	4.03	4.95E-28	139.57	2.01
PA1961		probable transcriptional regulator	2.15	2.20E-06	65.86	1.11
PA1962	azoR2	FMN-dependent NADH-azoreductase 2, AzoR2	2.09	0.0005753232	31.66	1.06
PA1964		probable ATP-binding component of ABC transporter	15.09	1.39E-75	1256.80	3.92
PA1966		hypothetical protein	2.87	1.06E-09	52.06	1.52
PA1967		hypothetical protein	-3.02	2.07E-05	141.32	-1.59
PA1968		hypothetical protein	-1.57	0.0402028484	68.26	-0.65
PA1971	braZ	branched chain amino acid transporter BraZ	3.04	2.10E-08	51.04	1.61
PA1985	pqqA	pyrroloquinoline quinone biosynthesis protein A	-10.88	9.38E-07	203.51	-3.44
PA1987	pqqC	pyrroloquinoline quinone biosynthesis protein C	-2.49	0.0283132555	90.73	-1.32
PA1989	pqqE	pyrroloquinoline quinone biosynthesis protein E	-5.28	1.11E-05	81.83	-2.40
PA1990	pqqH	PqqH	-4.78	5.35E-07	62.19	-2.26
PA1993		probable major facilitator superfamily (MFS) transporter	1.82	0.0001811682	71.27	0.86
PA1997		probable AMP-binding enzyme	-1.91	0.0003840159	181.56	-0.93
PA1999	dchA	dehydrocarnitine CoA transferase, DchA	-2.44	0.0440711613	1444.00	-1.29
PA2004		conserved hypothetical protein	3.16	0.0004607254	345.25	1.66
PA2011	liuE	3-hydroxy-3-methylglutaryl-CoA lyase	-1.83	0.0499993925	449.43	-0.87
PA2018	mexY	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexY	14.56	2.51E-73	2660.82	3.86
PA2019	mexX	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexX precursor	17.88	2.00E-68	1985.67	4.16
PA2020	mexZ	MexZ	3.97	6.64E-51	410.85	1.99
PA2021		hypothetical protein	-5.52	0.0095263492	8.27	-2.46
PA2022		probable nucleotide sugar dehydrogenase	3.15	6.03E-13	75.52	1.65
PA2023	galU	UTP--glucose-1-phosphate uridylyltransferase	2.25	3.85E-29	2096.35	1.17
PA2024		probable ring-cleaving dioxygenase	-5.25	6.74E-06	39.67	-2.39
PA2026		conserved hypothetical protein	-1.72	0.0195138683	29.18	-0.78
PA2030		hypothetical protein	-4.78	3.71E-06	42.81	-2.26
PA2031		hypothetical protein	-4.85	1.40E-05	26.27	-2.28
PA2032		probable transcriptional regulator	2.30	2.39E-35	482.87	1.20
PA2033		hypothetical protein	-2.85	0.0034108857	1636.09	-1.51
PA2034		hypothetical protein	-2.84	0.010916932	511.72	-1.51
PA2035		probable decarboxylase	-2.07	2.56E-05	55.61	-1.05
PA2038		hypothetical protein	2.30	0.0320164066	21.50	1.20
PA2039		hypothetical protein	3.52	1.72E-06	50.26	1.82
PA2042		probable transporter (membrane subunit)	1.95	6.44E-08	1248.58	0.96
PA2043		hypothetical protein	2.40	0.0002635534	101.87	1.26
PA2045		conserved hypothetical protein	1.69	0.0002972631	71.83	0.76
PA2047		probable transcriptional regulator	-3.99	2.27E-08	50.51	-2.00
PA2052	cynS	cyanate lyase	-12.38	1.78E-09	17.03	-3.63
PA2063		hypothetical protein	2.82	8.68E-09	200.91	1.50
PA2065	pcoA	copper resistance protein A precursor	-4.67	6.35E-06	21.34	-2.22
PA2066		hypothetical protein	-18.28	1.77E-15	114.11	-4.19
PA2067		probable hydrolase	-20.41	5.53E-15	88.67	-4.35
PA2068		probable major facilitator superfamily (MFS) transporter	-23.64	8.49E-23	227.98	-4.56
PA2069		probable carbamoyl transferase	-20.97	8.00E-21	964.76	-4.39
PA2071	fusA2	elongation factor G	-10.62	1.93E-14	599.64	-3.41
PA2072		conserved hypothetical protein	-12.27	3.49E-12	192.06	-3.62
PA2073		probable transporter (membrane subunit)	-3.02	0.0023152075	15.61	-1.60
PA2074		hypothetical protein	-4.72	0.0021879039	7.52	-2.24
PA2075		hypothetical protein	-2.37	0.0003649005	30.69	-1.24
PA2079		probable amino acid permease	-2.15	0.0004865571	93.65	-1.10
PA2080	kynU	kynureninase KynU	-3.66	1.53E-23	274.79	-1.87
PA2081	kynB	kynurenine formamidase, KynB	-2.60	1.55E-13	201.66	-1.38
PA2083		probable ring-hydroxylating dioxygenase subunit	-1.86	0.0034730314	90.02	-0.89
PA2084		probable asparagine synthetase	-1.96	0.0043748886	75.75	-0.97
PA2096		probable transcriptional regulator	-2.17	0.0033136235	26.07	-1.12
PA2102		hypothetical protein	-1.83	0.0152932091	35.55	-0.87
PA2103		probable molybdopterin biosynthesis protein MoeB	-3.25	1.07E-08	127.15	-1.70
PA2104		probable cysteine synthase	-1.53	0.0046104511	152.03	-0.61
PA2115		probable transcriptional regulator	1.89	1.04E-07	215.27	0.92
PA2116		conserved hypothetical protein	-6.34	1.32E-16	1632.51	-2.66
PA2118	ada	O6-methylguanine-DNA methyltransferase	-2.98	9.12E-15	191.74	-1.58
PA2119		alcohol dehydrogenase (Zn-dependent)	5.87	0.0114121118	182.68	2.55
PA2120		hypothetical protein	-2.22	0.0107907945	21.04	-1.15
PA2124		probable dehydrogenase	2.61	0.0007767752	28.90	1.39
PA2126	cgrC	cupA gene regulator C, CgrC	4.14	0.000534714	55.01	2.05
PA2126.1	cgrB	cupA gene regulator B, CgrB	3.36	0.0031139411	44.09	1.75
PA2127	cgrA	cupA gene regulator A, CgrA	8.87	2.10E-08	331.51	3.15
PA2128	cupA1	fimbrial subunit CupA1	2.39	4.07E-05	61.99	1.26
PA2134		hypothetical protein	-6.87	3.02E-11	18.49	-2.78
PA2135		probable transporter	-3.37	0.002034914	7.23	-1.75
PA2137		hypothetical protein	-3.69	0.0005720786	6.63	-1.88
PA2138	ligD	Multifunctional non-homologous end joining protein LigD	-3.15	1.56E-06	25.64	-1.65
PA2142		probable short-chain dehydrogenase	-5.25	0.0002186881	6.71	-2.39
PA2143		hypothetical protein	-9.86	1.41E-06	7.14	-3.30
PA2144	glgP	glycogen phosphorylase	-12.63	1.54E-14	38.22	-3.66
PA2146		conserved hypothetical protein	-13.43	1.73E-14	21.91	-3.75
PA2147	katE	catalase HPII	-2.23	0.0022213772	14.91	-1.16
PA2151		conserved hypothetical protein	-6.62	1.95E-07	27.29	-2.73
PA2152		probable trehalose synthase	-6.28	2.81E-11	45.49	-2.65
PA2153	glgB	1,4-alpha-glucan branching enzyme	-8.67	2.56E-13	32.63	-3.12
PA2155		probable phospholipase	-5.67	0.0004894012	4.93	-2.50
PA2157		hypothetical protein	-3.37	0.0014114395	7.13	-1.75
PA2158		probable alcohol dehydrogenase (Zn-dependent)	-5.85	2.39E-09	16.84	-2.55
PA2159		conserved hypothetical protein	-12.18	1.26E-08	9.93	-3.61
PA2160		probable glycosyl hydrolase	-17.44	9.19E-25	52.34	-4.12
PA2162		probable glycosyl hydrolase	-11.22	5.46E-20	27.75	-3.49
PA2163		hypothetical protein	-5.62	8.94E-12	25.24	-2.49
PA2164		probable glycosyl hydrolase	-12.45	4.88E-24	28.08	-3.64
PA2165		probable glycogen synthase	-6.62	3.67E-19	52.88	-2.73
PA2166		hypothetical protein	-4.80	1.73E-10	58.46	-2.26
PA2167		hypothetical protein	-9.74	8.52E-08	24.44	-3.28
PA2168		hypothetical protein	-12.94	0.0005151474	6.35	-3.69
PA2169		hypothetical protein	-3.42	0.0017767877	10.57	-1.77
PA2171		hypothetical protein	-3.22	0.0001402597	11.21	-1.69
PA2172		hypothetical protein	-2.03	0.0151820973	12.37	-1.02
PA2173		hypothetical protein	-3.92	0.0470250997	5.83	-1.97
PA2174		hypothetical protein	-10.98	1.79E-07	33.21	-3.46
PA2175		hypothetical protein	-5.46	0.0006384528	5.69	-2.45
PA2176		hypothetical protein	-3.28	0.0049829316	21.29	-1.71
PA2177		probable sensor/response regulator hybrid	-9.19	4.97E-13	116.01	-3.20
PA2180		hypothetical protein	-5.39	0.003043597	9.09	-2.43
PA2182		hypothetical protein	-3.71	0.0002186944	25.57	-1.89
PA2183		hypothetical protein	-11.74	0.0017583664	3.75	-3.55
PA2184		conserved hypothetical protein	-2.20	0.0102754241	13.23	-1.14
PA2189		hypothetical protein	-2.68	0.0461427768	7.81	-1.42
PA2190		conserved hypothetical protein	-14.26	1.24E-12	31.70	-3.83
PA2191	exoY	adenylate cyclase ExoY	2.02	0.0104769145	299.71	1.01
PA2192		conserved hypothetical protein	-2.80	0.0014015282	12.65	-1.49
PA2195	hcnC	hydrogen cyanide synthase HcnC	-1.66	0.0015214982	820.56	-0.73
PA2197		conserved hypothetical protein	-2.47	2.86E-07	217.45	-1.30
PA2200		Cyclic-guanylate-specific phosphodiesterase	2.03	4.22E-06	234.71	1.02
PA2206		LysR-type transcriptional regulator	-2.31	0.000759908	27.02	-1.21
PA2210		probable major facilitator superfamily (MFS) transporter	2.09	0.0051209076	17.20	1.06
PA2218		hypothetical protein	-2.23	0.0002386837	33.95	-1.16
PA2221		conserved hypothetical protein	-2.79	0.000718275	18.35	-1.48
PA2222		hypothetical protein	-5.78	5.05E-08	105.01	-2.53
PA2223		hypothetical protein	-6.66	9.07E-10	189.47	-2.74
PA2225		hypothetical protein	-4.17	0.0002299421	23.18	-2.06
PA2226	qsrO	QsrO	-3.36	8.27E-05	61.00	-1.75
PA2227	vqsM	AraC-type transcriptional regulator VqsM	-2.82	0.0004247925	136.81	-1.49
PA2230		hypothetical protein	4.09	3.72E-30	229.66	2.03
PA2232	pslB	PslB	-2.66	1.92E-06	682.32	-1.41
PA2233	pslC	PslC	-3.16	7.11E-07	275.76	-1.66
PA2234	pslD	PslD	-2.51	0.0017637815	357.08	-1.33
PA2235	pslE	PslE	-2.67	0.0033878672	1046.74	-1.42
PA2236	pslF	PslF	-4.82	2.89E-05	241.67	-2.27
PA2237	pslG	PslG	-3.44	0.0009728098	293.61	-1.78
PA2238	pslH	PslH	-4.77	0.0001616072	213.67	-2.26
PA2239	pslI	PslI	-5.02	1.68E-05	173.42	-2.33
PA2242	pslL	hypothetical protein	-8.40	8.90E-09	188.14	-3.07
PA2243	pslM	hypothetical protein	-2.20	0.0017196072	20.41	-1.14
PA2244	pslN	hypothetical protein	-2.50	0.0051012455	12.58	-1.32
PA2251		hypothetical protein	2.20	7.05E-15	214.92	1.13
PA2254	pvcA	paerucumarin biosynthesis protein PvcA	-3.87	1.46E-06	18.53	-1.95
PA2255	pvcB	paerucumarin biosynthesis protein PvcB	-3.88	0.0010064043	7.60	-1.96
PA2256	pvcC	paerucumarin biosynthesis protein PvcC	-3.79	0.0001842758	9.69	-1.92
PA2259	ptxS	transcriptional regulator PtxS	-2.62	0.0009425862	296.11	-1.39
PA2264		conserved hypothetical protein	2.26	0.000823562	125.38	1.18
PA2266		probable cytochrome c precursor	2.25	0.0001980315	101.23	1.17
PA2269		conserved hypothetical protein	2.00	0.0001828655	78.45	1.00
PA2271		probable acetyltransferase	-1.59	0.0168846912	53.12	-0.67
PA2272	pbpC	penicillin-binding protein 3A	-2.55	6.46E-12	124.83	-1.35
PA2273	soxR	SoxR	-1.65	0.0072759226	81.78	-0.73
PA2278	arsB	ArsB protein	3.34	4.43E-12	107.47	1.74
PA2281		probable transcriptional regulator	2.30	2.96E-16	198.03	1.20
PA2289		conserved hypothetical protein	-3.56	3.91E-06	326.91	-1.83
PA2290	gcd	glucose dehydrogenase	-3.99	6.65E-09	1359.17	-2.00
PA2291		probable glucose-sensitive porin	-1.66	0.0485292955	258.09	-0.73
PA2297		probable ferredoxin	-4.50	0.0128893666	5.83	-2.17
PA2298		probable oxidoreductase	-3.18	5.85E-13	68.44	-1.67
PA2299		probable transcriptional regulator	-3.01	5.18E-07	34.86	-1.59
PA2300	chiC	chitinase	-24.06	4.24E-28	817.65	-4.59
PA2301		hypothetical protein	-10.99	4.17E-31	96.77	-3.46
PA2302	ambE	AmbE	-28.44	1.35E-44	1495.42	-4.83
PA2303	ambD	AmbD	-42.17	1.42E-58	231.86	-5.40
PA2304	ambC	AmbC	-36.51	3.44E-44	262.91	-5.19
PA2305	ambB	AmbB	-11.04	2.36E-55	1181.12	-3.46
PA2306	ambA	AmbA	-3.87	6.30E-10	223.67	-1.95
PA2315		hypothetical protein	4.04	0.0003290055	13.61	2.01
PA2317		probable oxidoreductase	-3.37	1.51E-08	33.63	-1.75
PA2318		hypothetical protein	-5.42	2.17E-11	25.76	-2.44
PA2320	gntR	transcriptional regulator GntR	-1.77	2.55E-08	251.46	-0.83
PA2322		gluconate permease	1.93	0.0266637115	225.28	0.95
PA2323		probable glyceraldehyde-3-phosphate dehydrogenase	-5.10	1.15E-26	491.46	-2.35
PA2326		hypothetical protein	1.54	0.0142864603	39.57	0.62
PA2328		hypothetical protein	-1.89	1.27E-05	132.02	-0.92
PA2329		probable ATP-binding component of ABC transporter	-1.77	0.0139864383	129.91	-0.82
PA2330		hypothetical protein	-1.91	0.0080933268	317.32	-0.94
PA2331		hypothetical protein	-3.49	4.25E-10	317.92	-1.80
PA2333		probable sulfatase	-2.24	0.0103892303	13.40	-1.17
PA2335		probable TonB-dependent receptor	2.92	0.0062057315	12.09	1.55
PA2337	mtlR	transcriptional regulator MtlR	-5.80	1.72E-24	51.42	-2.54
PA2340		probable binding-protein-dependent maltose/mannitol transport protein	-2.64	0.0361216355	5.81	-1.40
PA2344	mtlZ	fructokinase	2.66	1.10E-06	60.64	1.41
PA2345		conserved hypothetical protein	-5.20	2.68E-07	241.89	-2.38
PA2352		probable glycerophosphoryl diester phosphodiesterase	4.81	1.47E-13	170.07	2.26
PA2359	sfa3	probable transcriptional regulator	-5.06	1.73E-09	32.70	-2.34
PA2360	hsiA3	hypothetical protein	-21.65	2.80E-17	129.76	-4.44
PA2361	icmF3	IcmF3	-5.75	2.59E-10	253.33	-2.52
PA2362	dotU3	DotU3	-2.44	0.0069884193	90.27	-1.29
PA2363	hsiJ3	HsiJ3	-4.25	2.16E-06	328.97	-2.09
PA2364	lip3	Lip3	-4.61	2.83E-11	95.44	-2.21
PA2365	hsiB3	HsiB3	-42.16	6.24E-25	542.26	-5.40
PA2366	hsiC3	HsiC3	-70.66	6.52E-27	1059.28	-6.14
PA2367	hcp3	Hcp3	-104.23	2.38E-20	397.63	-6.70
PA2368	hsiF3	HsiF3	-89.72	1.40E-13	81.89	-6.49
PA2369	hsiG3	HsiG3	-54.81	9.94E-21	286.56	-5.78
PA2370	hsiH3	HsiH3	-98.82	8.47E-15	90.83	-6.63
PA2371	clpV3	ClpV3	-79.56	2.66E-21	352.20	-6.31
PA2372		hypothetical protein	-31.72	1.81E-18	730.94	-4.99
PA2373	vgrG3	VgrG3	-13.04	1.97E-13	523.56	-3.70
PA2374		hypothetical protein	-9.39	1.38E-08	63.03	-3.23
PA2375		hypothetical protein	-7.50	8.63E-06	33.15	-2.91
PA2377		hypothetical protein	-31.81	6.46E-48	364.48	-4.99
PA2381		hypothetical protein	-12.79	7.87E-29	283.21	-3.68
PA2383		probable transcriptional regulator	-2.61	0.0010859783	325.68	-1.38
PA2384		hypothetical protein	-4.00	1.43E-05	1252.57	-2.00
PA2388	fpvR	FpvR	1.59	0.0011993695	681.72	0.67
PA2389	pvdR	PvdR	-2.01	0.0118324959	973.35	-1.01
PA2390	pvdT	PvdT	-3.24	1.98E-11	748.64	-1.70
PA2391	opmQ	probable outer membrane protein precursor	-2.10	0.0001166239	588.90	-1.07
PA2396	pvdF	pyoverdine synthetase F	-2.57	0.0103150137	4092.96	-1.36
PA2397	pvdE	pyoverdine biosynthesis protein PvdE	-3.51	0.0012929067	1699.81	-1.81
PA2404	fpvH	FpvH	2.03	2.42E-10	414.84	1.02
PA2405	fpvJ	FpvJ	1.84	1.77E-07	232.27	0.88
PA2406	fpvK	FpvK	1.61	1.14E-05	268.80	0.69
PA2408	fpvD	FpvD	2.20	1.76E-09	369.04	1.14
PA2409	fpvE	FpvE	2.13	0.0001291864	305.43	1.09
PA2413	pvdH	L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase, PvdH	-2.99	0.0109534476	4505.43	-1.58
PA2414		L-sorbosone dehydrogenase	-9.34	3.59E-09	100.90	-3.22
PA2415		hypothetical protein	-16.34	2.79E-08	28.27	-4.03
PA2416	treA	periplasmic trehalase precursor	-5.27	1.25E-06	27.82	-2.40
PA2418		hypothetical protein	-2.40	0.0113712154	12.58	-1.27
PA2419		probable hydrolase	-6.11	2.76E-05	13.94	-2.61
PA2422		hypothetical protein	-7.19	1.68E-05	11.66	-2.84
PA2423		hypothetical protein	-5.48	3.50E-23	298.27	-2.45
PA2424	pvdL	PvdL	-4.06	9.45E-05	11754.29	-2.02
PA2427		hypothetical protein	-3.05	0.0086705057	569.29	-1.61
PA2428		hypothetical protein	-1.98	0.031036063	24.07	-0.98
PA2430		conserved hypothetical protein	-4.75	5.64E-07	66.37	-2.25
PA2431		hypothetical protein	-3.78	1.16E-07	79.41	-1.92
PA2433		hypothetical protein	-7.13	1.41E-08	80.54	-2.83
PA2435		probable cation-transporting P-type ATPase	3.70	7.47E-14	234.97	1.89
PA2436		hypothetical protein	5.18	3.54E-30	218.67	2.37
PA2437		hypothetical protein	1.98	0.0392830158	16.91	0.99
PA2438		hypothetical protein	2.18	0.0013646837	21.56	1.12
PA2439		hypothetical protein	2.03	0.0031446688	33.85	1.02
PA2442	gcvT2	glycine cleavage system protein T2	-4.69	3.25E-16	595.21	-2.23
PA2443	sdaA	L-serine dehydratase	-4.36	1.39E-20	540.03	-2.12
PA2444	glyA2	serine hydroxymethyltransferase	-3.76	3.11E-15	411.70	-1.91
PA2445	gcvP2	glycine cleavage system protein P2	-1.67	0.0025430884	4150.15	-0.74
PA2448		hypothetical protein	-6.56	1.27E-09	99.34	-2.71
PA2449	gcsR	GcsR	2.72	1.68E-26	447.46	1.45
PA2450		hypothetical protein	-1.51	0.02322223	443.05	-0.60
PA2451		hypothetical protein	-3.69	0.0012105261	858.81	-1.88
PA2452		hypothetical protein	-2.67	0.0119247703	960.12	-1.42
PA2453		hypothetical protein	2.30	8.89E-06	211.55	1.20
PA2454		hypothetical protein	3.08	1.29E-19	257.60	1.62
PA2455		hypothetical protein	2.39	3.09E-07	82.41	1.26
PA2459		hypothetical protein	3.84	3.41E-06	230.80	1.94
PA2460		hypothetical protein	2.49	5.03E-05	166.68	1.32
PA2461		hypothetical protein	2.10	0.0010773879	409.67	1.07
PA2462		hypothetical protein	1.56	0.0478912819	4035.74	0.64
PA2463		hypothetical protein	5.93	1.46E-22	358.54	2.57
PA2465		hypothetical protein	2.48	0.00417348	9.36	1.31
PA2467	foxR	Anti-sigma factor FoxR	2.10	0.0224315119	301.51	1.07
PA2469		probable transcriptional regulator	-1.95	0.0128275893	32.02	-0.97
PA2470	gtdA	gentisate 1,2-dioxygenase	1.75	0.0400158488	19.57	0.80
PA2475		probable cytochrome P450	-5.74	5.37E-10	106.81	-2.52
PA2476	dsbG	thiol:disulfide interchange protein DsbG	-1.52	0.0095146177	96.57	-0.60
PA2477		probable thiol:disulfide interchange protein	1.57	0.017161373	40.64	0.65
PA2478		probable thiol:disulfide interchange protein	2.16	2.55E-09	166.29	1.11
PA2480		probable two-component sensor	2.00	8.55E-06	63.69	1.00
PA2481		hypothetical protein	12.88	1.20E-29	474.69	3.69
PA2482		probable cytochrome c	4.41	3.02E-22	440.68	2.14
PA2485		hypothetical protein	-2.39	0.0068332618	19.73	-1.26
PA2486		hypothetical protein	-6.09	3.71E-05	18.14	-2.61
PA2488		probable transcriptional regulator	-2.21	0.0050206189	25.39	-1.14
PA2489		probable transcriptional regulator	-1.98	8.24E-05	38.56	-0.99
PA2491	mexS	MexS	-1.66	6.59E-05	300.79	-0.73
PA2493	mexE	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexE precursor	1.85	0.0158165495	21.10	0.89
PA2494	mexF	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexF	1.78	0.0088482264	29.98	0.83
PA2495	oprN	Multidrug efflux outer membrane protein OprN precursor	3.69	2.17E-06	25.92	1.88
PA2496		hypothetical protein	3.55	1.49E-16	78.19	1.83
PA2497		probable transcriptional regulator	1.64	0.0148909947	56.66	0.71
PA2500		probable major facilitator superfamily (MFS) transporter	1.82	0.0081705619	29.27	0.87
PA2502		hypothetical protein	5.12	4.84E-20	180.31	2.36
PA2503		hypothetical protein	4.05	8.92E-14	351.02	2.02
PA2504		hypothetical protein	-5.02	9.33E-06	231.69	-2.33
PA2509	catB	muconate cycloisomerase I	2.37	0.0330073448	9.49	1.24
PA2510	catR	transcriptional regulator CatR	3.81	9.20E-13	52.94	1.93
PA2520	czcA	Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA	2.75	1.74E-08	49.90	1.46
PA2521	czcB	Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux membrane fusion protein CzcB precursor	2.13	0.0452982854	11.86	1.09
PA2522	czcC	outer membrane protein precursor CzcC	2.42	0.0004789704	21.85	1.27
PA2529		hypothetical protein	-2.92	1.77E-21	350.31	-1.55
PA2530		hypothetical protein	-2.45	2.38E-17	260.51	-1.29
PA2531		probable aminotransferase	-7.22	5.13E-07	611.14	-2.85
PA2532	tpx	thiol peroxidase	-2.57	4.82E-06	593.96	-1.36
PA2533		probable sodium:alanine symporter	1.82	0.0007949442	438.08	0.86
PA2534		probable transcriptional regulator	2.20	4.60E-05	76.80	1.14
PA2543		conserved hypothetical protein	2.25	8.64E-09	346.49	1.17
PA2544		hypothetical protein	-2.74	3.21E-07	134.54	-1.45
PA2546		probable ring-cleaving dioxygenase	-1.90	0.0088447907	26.65	-0.93
PA2548		hypothetical protein	2.03	0.0139478141	15.52	1.02
PA2555		probable AMP-binding enzyme	3.18	0.0074759391	2294.96	1.67
PA2558		probable transport protein	4.12	9.34E-22	122.25	2.04
PA2559		hypothetical protein	-1.63	1.56E-05	338.48	-0.70
PA2561	ctpH	CtpH	3.67	6.13E-11	180.77	1.88
PA2562		hypothetical protein	-2.64	0.0014398905	453.44	-1.40
PA2563		probable sulfate transporter	6.49	1.03E-17	77.79	2.70
PA2564		hypothetical protein	-6.11	1.41E-10	95.17	-2.61
PA2565		hypothetical protein	-7.73	4.31E-14	46.02	-2.95
PA2566		conserved hypothetical protein	-8.64	4.83E-11	126.88	-3.11
PA2568		hypothetical protein	-1.51	0.0010154825	128.47	-0.60
PA2569		hypothetical protein	-1.96	0.000135543	70.27	-0.97
PA2570	lecA	LecA	-7.89	5.16E-07	103.04	-2.98
PA2571		probable two-component sensor	-6.45	3.15E-10	188.86	-2.69
PA2572		probable two-component response regulator	-21.55	7.87E-20	211.28	-4.43
PA2573		probable chemotaxis transducer	-9.24	6.06E-14	343.39	-3.21
PA2575		hypothetical protein	-6.22	2.40E-80	393.82	-2.64
PA2576		hypothetical protein	1.62	0.0176049491	42.03	0.69
PA2577		probable transcriptional regulator	-2.21	0.0002514012	70.20	-1.14
PA2578		probable acetyltransferase	-2.78	2.94E-06	44.27	-1.47
PA2582		hypothetical protein	-1.78	1.05E-07	722.41	-0.83
PA2584	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	1.54	0.0002057751	301.52	0.62
PA2586	gacA	response regulator GacA	-1.61	0.0019793909	666.45	-0.69
PA2587	pqsH	probable FAD-dependent monooxygenase	-6.30	1.37E-59	739.18	-2.65
PA2588		probable transcriptional regulator	-5.00	2.26E-29	243.16	-2.32
PA2590		hypothetical protein	1.69	0.0011253158	82.87	0.76
PA2591	vqsR	VqsR	-2.35	1.87E-11	811.91	-1.23
PA2601		probable transcriptional regulator	1.73	4.20E-06	162.85	0.79
PA2602		3-mercaptopropionate dioxygenase	-2.74	0.0050317318	12.51	-1.45
PA2603		probable thiosulfate sulfurtransferase	-1.63	0.0061217007	51.28	-0.71
PA2605		conserved hypothetical protein	-1.62	0.0440447095	104.39	-0.69
PA2610		conserved hypothetical protein	-2.09	0.0004553191	74.28	-1.06
PA2611	cysG	siroheme synthase	1.97	1.95E-05	696.00	0.98
PA2613		conserved hypothetical protein	1.91	3.00E-06	843.75	0.93
PA2614	lolA	lipoprotein localization protein LolA	3.09	1.16E-56	755.01	1.63
PA2615	ftsK	cell division protein FtsK	1.74	1.48E-08	1656.09	0.80
PA2618		hypothetical protein	-3.97	5.73E-07	137.74	-1.99
PA2619	infA	initiation factor	2.66	1.47E-09	1144.00	1.41
PA2621	clpS	ClpS	-1.58	0.0036803363	923.88	-0.66
PA2622	cspD	cold-shock protein CspD	-9.23	8.45E-31	909.68	-3.21
